id,questionnaire_id,question_number,text,category,sub_section,dimension,options,created_at,template,status,internal_title,subtitle,media_url,media_type,template_settings,validation,tags,display_order,source_type,updated_at
921,admin_created,2,你突然想起一件三年前尴尬的小事，你的第一反应是？,成长潜力,,,"[{""id"": ""A"", ""text"": ""\u8d76\u7d27\u5237\u624b\u673a\u76d6\u8fc7\u53bb\uff0c\u592a\u4e22\u4eba\u4e86"", ""value"": 1, ""label"": ""A""}, {""id"": ""B"", ""text"": ""\u601d\u8003\u4e3a\u4ec0\u4e48\u8fd9\u4ef6\u4e8b\u81f3\u4eca\u8fd8\u8ba9\u6211\u803f\u803f\u4e8e\u6000\uff0c\u5b83\u89e6\u52a8\u4e86\u6211\u54ea\u6839\u795e\u7ecf\uff1f"", ""value"": 3, ""label"": ""B""}, {""id"": ""C"", ""text"": ""\u610f\u8bc6\u5230\u8fd9\u53cd\u6620\u4e86\u6211\u5f53\u65f6\u5bf9\u8ba4\u540c\u611f\u7684\u6e34\u671b\uff0c\u5e76\u89c9\u5f97\u5f53\u65f6\u7684\u81ea\u5df1\u5f88\u53ef\u7231\u3002"", ""value"": 5, ""label"": ""C""}]",2026-02-11 08:48:18.08422,F2,published,新题目 Q2,,,,{},"{""required"": true}",[],0,admin,2026-02-11 08:48:18.175374
920,admin_created,1,我能清楚地知道自己在不同情况下的情绪,情绪调节能力,,,[],2026-02-11 08:42:35.937031,F1,published,新题目 Q1,,,,"{""leftLabel"": ""\u975e\u5e38\u4e0d\u7b26\u5408"", ""rightLabel"": ""\u975e\u5e38\u4e0d\u7b26\u5408""}","{""required"": true}",[],0,admin,2026-02-11 08:48:36.876087
922,admin_created,3,你精心准备了一个月的项目突然因为不可抗力夭折了，你的状态是？,成长潜力,,,"[{""id"": ""A"", ""text"": ""\u201c\u5f7b\u5e95\u6446\u70c2\uff0c\u4e00\u5468\u4e0d\u60f3\u4e0b\u5e8a\u3002"", ""value"": 1, ""label"": ""A""}, {""id"": ""B"", ""text"": ""\u96be\u8fc7\u51e0\u5929\uff0c\u7136\u540e\u673a\u68b0\u5730\u5f00\u59cb\u505a\u4e0b\u4e00\u4ef6\u4e8b\u3002"", ""value"": 2, ""label"": ""B""}, {""id"": ""C"", ""text"": ""\u5141\u8bb8\u81ea\u5df1\u96be\u8fc7\u4e00\u5c0f\u65f6\uff0c\u7136\u540e\u590d\u76d8\uff1a\u8fd9\u6b21\u7ecf\u5386\u7ed9\u6211\u7559\u4e0b\u4e86\u4ec0\u4e48\u201c\u5f39\u836f\u201d\uff1f"", ""value"": 5, ""label"": ""C""}]",2026-02-11 08:56:22.556663,F3,published,新题目 Q3,,http://localhost:8000/uploads/1770760588958-6f50b72b.jpg,image,{},"{""required"": true}",[],0,admin,2026-02-11 08:56:43.734826
924,admin_created,5,当下状态6图选择,成长潜力,,,"[{""id"": ""A"", ""text"": ""\u5e73\u9759"", ""imageUrl"": ""https://images.unsplash.com/photo-1763899910806-43a13994b44f?w=400"", ""value"": 1, ""label"": ""A""}, {""id"": ""B"", ""text"": ""\u7d27\u5f20"", ""imageUrl"": ""https://images.unsplash.com/photo-1678988498674-958509e12591?w=400"", ""value"": 2, ""label"": ""B""}, {""id"": ""C"", ""text"": ""\u671f\u5f85"", ""imageUrl"": ""https://images.unsplash.com/photo-1603110505034-7e7dd9458f27?w=400"", ""value"": 3, ""label"": ""C""}, {""id"": ""D"", ""text"": ""\u75b2\u60eb"", ""imageUrl"": ""https://images.unsplash.com/photo-1497491908353-c2624b242ecf?w=400"", ""value"": 4, ""label"": ""D""}, {""id"": ""E"", ""text"": ""\u6df7\u4e71"", ""imageUrl"": ""https://images.unsplash.com/photo-1759269834861-db6fddb17db3?w=400"", ""value"": 5, ""label"": ""E""}, {""id"": ""F"", ""text"": ""\u91ca\u7136"", ""imageUrl"": ""https://images.unsplash.com/photo-1593015839760-756dcd728cba?w=400"", ""value"": 6, ""label"": ""F""}]",2026-02-11 09:04:29.121555,F5,published,新题目 Q5,,,,"{""gridLayout"": ""2x3""}","{""required"": true}",[],0,admin,2026-02-11 09:04:29.132834
928,admin_created,6,观看这段视频片段，视频中主角的情绪主要是？,认知重构能力,,,"[{""id"": ""A"", ""text"": ""\u60b2\u4f24\u4e0e\u5931\u843d"", ""value"": 1, ""label"": ""A""}, {""id"": ""B"", ""text"": ""\u5e73\u9759\u4e0e\u63a5\u7eb3"", ""value"": 2, ""label"": ""B""}, {""id"": ""C"", ""text"": ""\u7126\u8651\u4e0e\u4e0d\u5b89"", ""value"": 1, ""label"": ""C""}, {""id"": ""D"", ""text"": ""\u6124\u6012\u4e0e\u6297\u62d2"", ""value"": 1, ""label"": ""D""}, {""id"": ""E"", ""text"": ""\u559c\u60a6\u4e0e\u5174\u594b"", ""value"": 1, ""label"": ""E""}]",2026-02-11 09:44:59.326065,F8,published,视频情绪判断,,https://assets.mixkit.co/videos/preview/mixkit-calm-sea-and-coast-at-sunset-1229-large.mp4,video,{},"{""required"": true}","[""\u89c6\u9891"", ""\u5171\u60c5""]",0,admin,2026-02-11 09:52:40.039189
923,admin_created,4,你向领导提交方案后，收到一句简短回复：“我们需要讨论一下。”你的第一反应是：,认知重构能力,,,"[{""id"": ""A"", ""text"": ""\u201c\u53ea\u8981\u88ab\u53eb\u53bb\u8ba8\u8bba\uff0c\u8bf4\u660e\u6211\u7684\u65b9\u6848\u5c31\u662f\u4e0d\u5408\u683c\u3002\u201d "", ""imageUrl"": ""http://localhost:8000/uploads/1770760197957-1861541a.png"", ""value"": 1, ""label"": ""A"", ""sub_category"": ""2.2.2.2""}, {""id"": ""B"", ""text"": ""\u201c\u4ed6\u4eec\u8fd9\u6b21\u4e0d\u6ee1\u610f\uff0c\u4ee5\u540e\u6211\u63d0\u7684\u65b9\u6848\u53ef\u80fd\u90fd\u901a\u4e0d\u8fc7\u3002\u201d "", ""imageUrl"": ""http://localhost:8000/uploads/1770760201598-6d7537f4.jpg"", ""value"": 2, ""label"": ""B"", ""sub_category"": ""2.2.2.1""}, {""id"": ""C"", ""text"": ""\u201c\u5b8c\u4e86\uff0c\u8fd9\u80af\u5b9a\u610f\u5473\u7740\u91cd\u5927\u95ee\u9898\uff0c\u9879\u76ee\u53ef\u80fd\u8981\u88ab\u53eb\u505c\u3002\u201d "", ""imageUrl"": ""http://localhost:8000/uploads/1770760207785-b6c2cd2b.jpg"", ""value"": 3, ""label"": ""C"", ""sub_category"": ""2.2.2.3""}, {""id"": ""D"", ""text"": ""\u201c\u6211\u672c\u6765\u5fc5\u987b\u628a\u6240\u6709\u95ee\u9898\u9884\u5148\u8003\u8651\u5230\uff0c\u4e0d\u80fd\u8ba9\u9886\u5bfc\u518d\u64cd\u5fc3\u3002\u201d "", ""imageUrl"": ""http://localhost:8000/uploads/1770760212567-40f5aebb.jpg"", ""value"": 4, ""label"": ""D"", ""sub_category"": ""2.2.2.4""}, {""id"": ""E"", ""text"": ""\u201c\u4e00\u5b9a\u662f\u6211\u758f\u5ffd\u4e86\u5173\u952e\u70b9\uff0c\u8d23\u4efb\u5728\u6211\u3002\u201d "", ""value"": 1, ""label"": ""E"", ""imageUrl"": ""http://localhost:8000/uploads/1770760216707-761ce840.jpg"", ""sub_category"": ""2.2.2.5""}]",2026-02-11 08:59:21.972458,F4,published,新题目 Q4,,,,{},"{""required"": true}",[],0,admin,2026-02-11 09:00:56.443106
927,admin_created,7,给你几种动物，请在以下动物中依次排序，选出你心中最喜欢的三种。,成长潜力,,,"[{""id"": ""opt0"", ""text"": ""\u732b"", ""value"": 0, ""label"": ""1""}, {""id"": ""opt1"", ""text"": ""\u72d7"", ""value"": 0, ""label"": ""2""}, {""id"": ""opt2"", ""text"": ""\u5154\u5b50"", ""value"": 0, ""label"": ""3""}, {""id"": ""opt3"", ""text"": ""\u718a\u732b"", ""value"": 0, ""label"": ""4""}, {""id"": ""opt4"", ""text"": ""\u72d0\u72f8"", ""value"": 0, ""label"": ""5""}, {""id"": ""F"", ""text"": ""\u6d77\u8c5a"", ""value"": 1, ""label"": ""F""}, {""id"": ""G"", ""text"": ""\u732b\u5934\u9e70"", ""value"": 1, ""label"": ""G""}]",2026-02-11 09:38:56.866723,F6,published,动物排序Top3,规则：最喜欢=1，第二喜欢=2，第三喜欢=3。,,,"{""topN"": 3}","{""required"": true}","[""\u6392\u5e8f"", ""\u504f\u597d""]",0,admin,2026-02-11 09:53:21.654171
926,admin_created,8,空间想象：若你站在树旁面向房子，猫在你的什么方向？,成长潜力,,,[],2026-02-11 09:10:48.017371,F7,published,空间方向罗盘,请拖动箭头指示方向（请以直觉作答，不要旋转设备）,http://localhost:8000/uploads/1770761377033-f5da83d1.png,image,"{""centerObject"": ""User"", ""targetObject"": ""cat"", ""defaultAngle"": 0, ""resetLabel"": ""\u91cd\u7f6e"", ""sceneItems"": []}","{""required"": true}","[""\u7a7a\u95f4"", ""\u8ba4\u77e5""]",0,admin,2026-02-11 09:53:36.702025
673,questionnaire_2_1,1,我能清楚地知道自己在不同情况下的情绪。,,,,"[{""value"": 1, ""label"": ""\u975e\u5e38\u4e0d\u7b26\u5408"", ""score"": 1}, {""value"": 2, ""label"": ""\u4e0d\u592a\u7b26\u5408"", ""score"": 2}, {""value"": 3, ""label"": ""\u4e00\u822c"", ""score"": 3}, {""value"": 4, ""label"": ""\u6bd4\u8f83\u7b26\u5408"", ""score"": 4}, {""value"": 5, ""label"": ""\u975e\u5e38\u7b26\u5408"", ""score"": 5}]",2026-01-21 12:29:59.163042,,published,,,,,,,,0,legacy,2026-02-11 19:26:06.389184
674,questionnaire_2_1,2,当我心情不好时，我能分辨是生气、悲伤还是焦虑。,,,,"[{""value"": 1, ""label"": ""\u975e\u5e38\u4e0d\u7b26\u5408"", ""score"": 1}, {""value"": 2, ""label"": ""\u4e0d\u592a\u7b26\u5408"", ""score"": 2}, {""value"": 3, ""label"": ""\u4e00\u822c"", ""score"": 3}, {""value"": 4, ""label"": ""\u6bd4\u8f83\u7b26\u5408"", ""score"": 4}, {""value"": 5, ""label"": ""\u975e\u5e38\u7b26\u5408"", ""score"": 5}]",2026-01-21 12:29:59.163046,,published,,,,,,,,0,legacy,2026-02-11 19:26:06.389184
